,age,income,net_worth,risk_tolerance,time_horizon,has_dependents,is_retired,tax_bracket,pref_equity,pref_bonds,pref_alts,pref_cash,segment,pca_1,pca_2,segment_name
26,42,19880,308044,2,29,1,0,0.22,81.1,5.0,10.2,3.7,1,0.3798069523242465,-0.5630019012717722,Mid-Career Balanced Families
27,54,114490,281509,3,15,0,1,0.32,61.6,20.1,18.3,0.0,3,0.13489764602193927,1.2939092033621564,High-Net-Worth Diversifiers
28,33,94742,210296,2,10,1,0,0.32,78.4,3.7,17.9,0.0,1,-0.13955537906104873,-0.9945130817239556,Mid-Career Balanced Families
29,43,20423,127518,4,20,0,0,0.37,93.6,-3.5,9.9,0.0,4,0.006945562416376048,-1.1848603838473948,Retired Income Seekers
30,65,51511,209793,3,22,1,0,0.24,65.2,21.8,13.0,0.0,1,1.0168325611441755,-0.011525617378448382,Mid-Career Balanced Families
31,46,72675,1725537,5,9,0,1,0.37,77.1,2.9,20.0,0.0,3,0.4880303370858861,-0.5399996488536402,High-Net-Worth Diversifiers
32,70,191956,114229,3,32,1,0,0.24,71.0,18.4,6.4,4.2,1,0.8107099661476304,1.7720318666957573,Mid-Career Balanced Families
33,48,99439,692390,5,17,0,0,0.37,95.0,-7.5,12.5,0.0,4,-0.004903611029922274,-0.7387915208462742,Retired Income Seekers
34,63,32689,77376,4,19,1,0,0.37,79.1,10.0,10.9,0.0,1,1.6848798322590526,-0.9325232541408592,Mid-Career Balanced Families
35,49,196176,56524,3,27,0,0,0.32,84.6,-2.9,18.3,0.0,2,-0.868281551547128,1.1808355333480651,Pre-Retiree Conservatives
36,37,61737,8299279,5,37,0,0,0.24,95.0,-15.0,20.0,0.0,0,-2.5050218805638087,-3.756341449081138,Young Aggressive Accumulators
37,36,50056,311149,3,34,0,0,0.32,95.0,-14.8,19.8,0.0,2,-0.5441724745361152,-0.4651506924804548,Pre-Retiree Conservatives
38,68,47620,321584,3,10,0,0,0.24,63.7,16.4,19.9,0.0,4,-0.5513271978338321,0.007379222616375294,Retired Income Seekers
39,72,19216,332459,1,30,1,0,0.22,65.9,23.9,5.3,4.9,1,0.46024153738170437,0.2881039509637942,Mid-Career Balanced Families
40,65,55445,880953,3,21,1,1,0.22,63.8,28.1,8.1,0.0,3,1.6405361590493552,0.9781376154659214,High-Net-Worth Diversifiers
41,73,84816,265500,4,21,1,0,0.22,69.9,19.5,10.6,0.0,1,1.3830769919371362,0.4521173572707608,Mid-Career Balanced Families
42,24,45717,433421,4,34,1,0,0.12,95.0,-4.1,9.1,0.0,1,0.7080081301734715,-0.4230652811075216,Mid-Career Balanced Families
43,58,80363,45693,2,9,0,0,0.32,74.5,10.3,15.2,0.0,4,-1.0361375610895964,-0.09655566126791987,Retired Income Seekers
44,72,32693,530040,3,34,1,0,0.32,71.4,14.1,14.5,0.0,1,1.4236254854323667,-0.19198304053225151,Mid-Career Balanced Families
45,28,54249,122502,2,12,0,0,0.22,83.5,5.6,10.9,0.0,4,-1.5813837068256313,-0.6039979068625153,Retired Income Seekers
46,42,74725,364430,4,21,1,0,0.37,87.1,-2.3,15.2,0.0,1,1.1329210102367389,-1.134487809615072,Mid-Career Balanced Families
47,30,68375,20782,2,20,0,0,0.32,83.9,1.7,14.4,0.0,2,-1.26068610622374,-0.599105467103746,Pre-Retiree Conservatives
48,60,19461,346700,5,6,1,0,0.24,79.7,5.4,14.9,0.0,1,1.5744711747607323,-1.124864159127381,Mid-Career Balanced Families
49,39,44033,11044,2,36,0,0,0.32,90.1,-7.3,17.2,0.0,2,-0.7601877932112618,-0.16378714183236404,Pre-Retiree Conservatives
50,25,193730,116879,2,12,0,1,0.32,74.4,8.7,16.9,0.0,3,-1.0276630678056013,1.4089817044899307,High-Net-Worth Diversifiers
51,46,42416,21022,4,31,0,0,0.24,95.0,-15.0,20.0,0.0,2,-0.02205818066417212,0.030054000070692966,Pre-Retiree Conservatives
52,35,60540,347890,3,2,0,0,0.22,92.6,-5.1,12.5,0.0,4,-1.3107857667912808,-0.8370577132538515,Retired Income Seekers
53,71,56346,176861,1,16,0,0,0.22,54.0,42.2,3.8,0.0,4,-1.2584142734395338,0.6670924866776655,Retired Income Seekers
54,30,179470,64540,3,1,0,0,0.24,89.3,3.0,7.7,0.0,4,-1.6913886178593323,0.18723722821854463,Retired Income Seekers
55,47,147747,910081,1,4,1,0,0.32,56.7,34.3,8.2,0.8,1,-0.8501243111034251,-0.534706097768115,Mid-Career Balanced Families
56,74,105374,55492,5,1,0,1,0.32,67.3,12.7,20.0,0.0,3,1.1769556418404408,1.2473003744215185,High-Net-Worth Diversifiers
57,23,30294,4283,3,35,1,0,0.22,95.0,-15.0,20.0,0.0,1,0.6557423160148099,-0.7252772608196165,Mid-Career Balanced Families
58,41,76989,301450,2,13,0,0,0.12,80.5,1.0,18.5,0.0,4,-1.6611452609959552,0.32911285497082876,Retired Income Seekers
59,49,89103,19537,3,31,0,0,0.22,95.0,-4.4,9.4,0.0,2,-0.5883402720053561,0.7312270924659908,Pre-Retiree Conservatives
60,68,36716,57640,1,20,1,0,0.24,51.5,42.2,6.3,0.0,1,0.2946318387982412,0.11893659314019162,Mid-Career Balanced Families
61,28,32553,87481,4,7,0,0,0.12,95.0,-15.0,20.0,0.0,4,-0.9068419971564523,-0.6670558128730246,Retired Income Seekers
62,65,197503,29472,5,33,0,0,0.12,93.4,-7.7,14.3,0.0,2,-0.0016546724523448667,2.4812704502878233,Pre-Retiree Conservatives
63,29,48505,89996,4,28,1,0,0.24,95.0,-15.0,20.0,0.0,1,0.9996057310129688,-0.8122037205219977,Mid-Career Balanced Families
64,68,185439,30141,3,20,0,0,0.37,78.6,13.4,8.0,0.0,4,-0.5434336216545471,1.1514379792741885,Retired Income Seekers
65,56,120326,197769,3,32,1,1,0.22,62.5,27.5,9.6,0.4,3,1.6819605525361205,1.9885211982489575,High-Net-Worth Diversifiers
66,35,79659,37253,1,9,0,0,0.32,71.5,23.3,5.2,0.0,4,-1.8267047457977408,-0.5843815941627565,Retired Income Seekers
67,38,82188,168750,4,34,0,0,0.22,95.0,-4.3,9.3,0.0,2,-0.3242393568029972,0.31263864910764694,Pre-Retiree Conservatives
68,57,22464,656323,3,14,1,0,0.24,77.0,9.8,7.0,6.2,1,0.703313237997621,-0.9139844310165899,Mid-Career Balanced Families
69,71,69199,416169,3,4,1,0,0.32,53.7,34.3,12.0,0.0,1,0.8206001606703043,-0.6371711938905128,Mid-Career Balanced Families
70,61,161444,147553,5,29,0,0,0.37,91.0,-5.1,14.1,0.0,2,0.3757892624702572,0.758238154110421,Pre-Retiree Conservatives
71,25,96465,49687,2,15,1,0,0.24,78.9,14.6,6.5,0.0,1,-0.27469869473959896,-0.6105839703395641,Mid-Career Balanced Families
72,23,66705,197010,1,17,1,0,0.22,69.9,21.8,8.3,0.0,1,-0.6748791050222859,-0.7781723438005694,Mid-Career Balanced Families
73,27,198462,70624,1,19,0,0,0.12,85.3,0.4,14.3,0.0,2,-2.5530286426328,1.4995893345490445,Pre-Retiree Conservatives
74,63,52600,207181,2,38,0,0,0.24,82.4,-0.1,17.7,0.0,2,-0.5664655087332456,0.8395731398224572,Pre-Retiree Conservatives
75,25,38805,20778,1,9,1,0,0.24,67.0,20.0,13.0,0.0,1,-0.5852981305393722,-1.2212944264546484,Mid-Career Balanced Families
76,50,66681,428786,3,27,0,0,0.22,82.5,1.6,15.9,0.0,2,-0.6987572803814749,0.24392299433642375,Pre-Retiree Conservatives
77,39,102388,169373,3,15,0,0,0.37,82.2,-2.2,20.0,0.0,4,-0.8595655364554832,-0.5681545547721137,Retired Income Seekers
78,47,17989,2304144,2,37,0,1,0.22,76.8,9.7,13.5,0.0,0,-0.5510025033438347,0.4030937745590254,Young Aggressive Accumulators
79,65,73087,780175,4,28,1,0,0.22,74.4,8.5,17.1,0.0,1,1.2359850809731365,0.0941119158457277,Mid-Career Balanced Families
80,55,105581,321073,2,4,1,0,0.37,52.0,28.8,19.2,0.0,1,0.13000619816764716,-0.7787888178079838,Mid-Career Balanced Families
81,31,49575,140253,4,21,1,0,0.37,95.0,-15.0,20.0,0.0,1,1.115865178552285,-1.5464085751344137,Mid-Career Balanced Families
82,57,129946,67810,3,34,1,0,0.24,81.5,3.7,14.8,0.0,1,0.8619520483887898,0.9309471790224035,Mid-Career Balanced Families
83,35,93791,504282,3,19,0,0,0.12,93.5,-2.1,8.6,0.0,2,-1.3656877733441726,0.31942046316631184,Pre-Retiree Conservatives
84,52,268060,123579,5,37,0,0,0.22,95.0,-15.0,20.0,0.0,2,-0.2537590000807094,2.449612264442287,Pre-Retiree Conservatives
85,69,35403,661349,1,4,1,1,0.12,27.7,63.9,3.4,5.0,3,0.5565326398757996,1.149980610724008,High-Net-Worth Diversifiers
86,36,107097,263283,3,37,1,0,0.37,95.0,-9.9,14.9,0.0,1,0.8026854529296878,-0.4004309179972803,Mid-Career Balanced Families
87,29,29374,265560,4,32,0,0,0.37,95.0,-10.6,15.6,0.0,2,-0.09972397366261308,-1.184991486234621,Pre-Retiree Conservatives
88,35,19326,332179,3,12,0,0,0.22,90.5,-6.9,16.4,0.0,4,-0.9965882756989787,-0.9494958205321906,Retired Income Seekers
89,44,14402,53984,2,16,0,0,0.24,70.9,14.4,9.4,5.3,4,-1.0586167549026781,-0.5320355035962808,Retired Income Seekers
90,61,87275,47735,3,14,0,0,0.22,79.4,2.6,18.0,0.0,4,-0.6781146665835048,0.5357429590850793,Retired Income Seekers
91,42,68116,45795,4,1,0,0,0.24,88.9,-5.0,16.1,0.0,4,-0.6833806416989581,-0.6573232923615699,Retired Income Seekers
92,37,42815,572058,4,32,0,0,0.32,95.0,-15.0,20.0,0.0,2,-0.203705806358118,-0.7749417032204126,Pre-Retiree Conservatives
93,66,17301,52320,1,21,1,0,0.24,52.0,38.8,2.5,6.7,1,0.34759567099786454,-0.08661331490035896,Mid-Career Balanced Families
94,39,36928,60755,1,4,0,1,0.22,48.3,37.6,8.6,5.6,3,-0.9601598272760444,0.605979314161345,High-Net-Worth Diversifiers
95,68,60045,310214,3,9,1,1,0.22,50.1,39.5,10.4,0.0,3,1.6664242666182827,1.0319715629513289,High-Net-Worth Diversifiers
96,74,104320,120275,2,22,0,0,0.24,70.7,12.5,16.8,0.0,4,-0.8025462711326335,1.210683561727359,Retired Income Seekers
97,45,59185,103181,2,12,0,0,0.12,74.2,15.1,5.2,5.5,4,-1.4840060088083924,0.3233663375761067,Retired Income Seekers
98,47,71427,92979,2,30,1,0,0.24,85.6,5.5,8.9,0.0,1,0.4060338096747624,0.09158018271501356,Mid-Career Balanced Families
99,46,46014,9989,2,30,1,0,0.32,85.8,3.5,10.7,0.0,1,0.6413871592867867,-0.49446115861990064,Mid-Career Balanced Families
100,66,203710,51008,2,32,0,0,0.32,74.3,14.8,10.9,0.0,2,-0.9519667072021483,1.9081657660658569,Pre-Retiree Conservatives
101,62,29355,671907,5,36,1,0,0.12,95.0,-15.0,20.0,0.0,1,1.7583733008430642,0.22584552142403455,Mid-Career Balanced Families
102,50,36700,85197,2,7,1,0,0.32,60.5,27.8,5.4,6.3,1,0.33129992141960457,-1.147526522692597,Mid-Career Balanced Families
103,36,42418,16637,2,17,0,1,0.22,67.7,19.6,9.0,3.7,3,-0.37698737415546935,0.8689219735799661,High-Net-Worth Diversifiers
104,66,87543,48552,2,1,0,0,0.12,63.5,26.7,9.8,0.0,4,-1.403653363805201,0.8436963273898971,Retired Income Seekers
105,22,28934,250652,5,14,1,0,0.12,95.0,-15.0,20.0,0.0,1,0.8827859080175735,-1.1870203925402834,Mid-Career Balanced Families
106,46,65841,244761,4,38,0,0,0.12,95.0,-4.2,9.2,0.0,2,-0.2657968172012982,0.8771255091394267,Pre-Retiree Conservatives
107,28,67200,114332,4,26,0,0,0.24,95.0,-9.0,14.0,0.0,2,-0.5163807408810439,-0.3637341931586674,Pre-Retiree Conservatives
108,30,36825,71179,2,27,0,0,0.24,95.0,-0.0,5.0,0.0,2,-1.187832654512356,-0.3751877737843877,Pre-Retiree Conservatives
109,45,75431,30253,4,16,0,0,0.12,90.8,-10.8,20.0,0.0,4,-0.608755349871634,0.4404179556778957,Retired Income Seekers
110,22,29570,253171,3,7,1,0,0.32,89.1,1.8,9.1,0.0,1,0.26231543280050457,-2.084367939714432,Mid-Career Balanced Families
111,65,27393,444828,2,32,0,0,0.22,71.1,20.0,8.9,0.0,2,-0.6602768370199356,0.46431674954464186,Pre-Retiree Conservatives
112,29,64197,764254,3,25,0,0,0.22,95.0,-4.8,9.8,0.0,2,-1.1793946599668537,-0.5148330540874207,Pre-Retiree Conservatives
113,45,18735,42928,4,31,0,0,0.24,95.0,-15.0,20.0,0.0,2,0.03621051133950978,-0.23112507283262496,Pre-Retiree Conservatives
114,32,13341,837877,4,16,1,0,0.37,86.4,-0.7,14.3,0.0,1,0.9394842049071276,-2.3259720489066207,Mid-Career Balanced Families
115,72,86940,152065,4,14,1,1,0.12,57.3,31.1,8.3,3.3,3,2.0255703565250087,1.9539490166676705,High-Net-Worth Diversifiers
116,38,124776,168028,5,25,1,0,0.37,94.3,-14.3,20.0,0.0,1,1.447199309092818,-0.6473051156614004,Mid-Career Balanced Families
117,29,43184,475589,2,30,1,1,0.22,75.5,14.6,4.8,5.1,3,0.9609960807336867,0.48414122148563943,High-Net-Worth Diversifiers
118,56,37509,85038,3,7,1,0,0.24,68.1,17.1,14.8,0.0,1,0.7110116597210154,-0.7234353274010497,Mid-Career Balanced Families
119,56,121039,12129,1,12,0,1,0.24,47.8,35.7,16.4,0.0,3,-0.7904008313616898,1.9865213997759674,High-Net-Worth Diversifiers
120,54,26852,379205,4,3,0,0,0.24,79.7,7.5,12.8,0.0,4,-0.4236319781032518,-0.849984337905605,Retired Income Seekers
121,26,23055,247282,2,27,1,0,0.24,90.1,-5.2,15.1,0.0,1,0.12866942257845435,-1.0489905150783663,Mid-Career Balanced Families
122,63,98257,105626,4,19,1,0,0.24,72.3,9.9,17.8,0.0,1,1.2277827060061035,0.26000045314399955,Mid-Career Balanced Families
123,60,60254,343532,3,37,1,0,0.12,87.0,-3.5,16.5,0.0,1,0.9055651428775462,0.8307728306510792,Mid-Career Balanced Families
124,62,126173,439034,3,7,1,0,0.37,80.0,5.8,12.1,2.1,1,0.6033830951352084,-0.4699367548963312,Mid-Career Balanced Families
125,49,13383,26518,1,16,0,0,0.22,59.3,29.4,7.0,4.3,4,-1.4183291842733718,-0.2242037558739734,Retired Income Seekers
126,28,22460,167211,3,32,0,0,0.22,95.0,-15.0,20.0,0.0,2,-0.7337287127463613,-0.47120242577875837,Pre-Retiree Conservatives
127,30,60477,10582,4,8,0,0,0.24,95.0,-3.0,8.0,0.0,4,-0.7246952702036129,-0.8226924307430059,Retired Income Seekers
128,29,80207,140304,1,13,0,0,0.24,80.3,11.5,7.9,0.3,4,-2.0305694440396405,-0.3106322898774893,Retired Income Seekers
129,33,108325,104058,3,11,0,0,0.24,88.6,-1.6,13.0,0.0,4,-1.2431852492887276,-0.16131248856122832,Retired Income Seekers
130,55,67668,293693,1,20,0,0,0.32,63.1,20.1,16.8,0.0,4,-1.362105622551704,-0.015554258852638305,Retired Income Seekers
131,54,67188,44906,3,18,0,0,0.22,79.6,9.9,10.5,0.0,4,-0.6554549945685157,0.2796199062004135,Retired Income Seekers
132,69,45588,98146,2,37,1,1,0.24,52.5,38.3,9.2,0.0,3,1.8834070649714802,1.7846581333791671,High-Net-Worth Diversifiers
133,44,182340,3431,2,6,0,0,0.37,71.8,18.7,5.7,3.8,4,-1.5686026202282222,0.24094312419580663,Retired Income Seekers
134,45,27663,317745,4,20,1,1,0.32,71.8,11.2,17.0,0.0,3,2.17310728820123,-0.09157598790741656,High-Net-Worth Diversifiers
135,58,76981,146373,3,32,0,0,0.12,89.5,-8.5,19.0,0.0,2,-0.5951837461595777,1.2555036704613438,Pre-Retiree Conservatives
136,56,29987,180717,2,29,0,1,0.32,68.8,16.6,14.6,0.0,3,0.3065597338521329,1.0576274308653049,High-Net-Worth Diversifiers
137,65,87059,27116,3,4,1,0,0.32,55.9,30.3,13.4,0.4,1,0.7918564319350344,-0.4373462833789853,Mid-Career Balanced Families
138,61,28972,262412,2,7,0,0,0.32,61.3,21.9,16.8,0.0,4,-0.9154927204574212,-0.666763397291726,Retired Income Seekers
139,43,100777,1182687,2,20,1,0,0.37,75.4,16.6,8.0,0.0,1,-0.07367087535934329,-1.0845058310581244,Mid-Career Balanced Families
140,48,64761,130366,3,34,0,0,0.22,92.4,-12.4,20.0,0.0,2,-0.5078746351658494,0.5048296752364554,Pre-Retiree Conservatives
141,56,203058,355082,2,36,0,0,0.24,82.4,0.7,16.9,0.0,2,-1.2847314556003522,1.9776158106673833,Pre-Retiree Conservatives
142,22,49182,57254,4,7,0,0,0.37,95.0,-10.2,15.2,0.0,4,-0.6280043817537841,-1.759292227345196,Retired Income Seekers
143,56,80617,148415,3,33,0,0,0.37,86.1,-0.5,14.4,0.0,2,-0.20028773452328602,0.15182781839521528,Pre-Retiree Conservatives
144,58,34691,25910,4,15,0,0,0.24,89.2,-9.2,20.0,0.0,4,-0.06694181257475477,-0.18359351578923128,Retired Income Seekers
145,68,48946,419050,5,32,1,0,0.32,91.0,-5.4,14.4,0.0,1,2.1466124573368788,-0.3216385441275785,Mid-Career Balanced Families
146,35,64474,197167,2,22,0,0,0.12,82.7,7.4,9.9,0.0,2,-1.531073053345965,0.35396154971316995,Pre-Retiree Conservatives
147,24,20556,37678,3,29,1,0,0.32,95.0,-9.1,14.1,0.0,1,0.7644841177574644,-1.4187519981632588,Mid-Career Balanced Families
148,22,22195,62178,3,25,0,0,0.32,95.0,-4.1,9.1,0.0,2,-0.7420887439151962,-1.212936098301805,Pre-Retiree Conservatives
149,26,91117,175133,2,5,0,0,0.22,89.7,3.7,6.6,0.0,4,-1.8757704413656022,-0.518011700301533,Retired Income Seekers
150,47,54054,493184,4,14,1,0,0.32,79.2,3.3,17.5,0.0,1,1.0415612734077124,-1.2347320020526302,Mid-Career Balanced Families
151,35,39535,960714,4,35,1,0,0.12,95.0,-5.4,10.4,0.0,1,0.7480310383620798,-0.4226977427788031,Mid-Career Balanced Families
152,60,35742,138558,3,2,0,1,0.37,53.3,32.1,10.1,4.5,3,0.4224155495373272,0.17953036720734114,High-Net-Worth Diversifiers
153,48,36719,31647,3,25,0,0,0.32,80.4,10.3,9.3,0.0,2,-0.3574553963324971,-0.40955603552362596,Pre-Retiree Conservatives
154,30,64782,216675,1,16,0,0,0.37,80.5,6.2,13.3,0.0,4,-1.7161100097193258,-0.9656412290662344,Retired Income Seekers
155,36,81758,1385898,3,16,1,0,0.22,86.6,-5.7,19.1,0.0,1,-0.0914183023910431,-1.0661926361050162,Mid-Career Balanced Families
156,36,13842,23218,4,11,0,0,0.12,95.0,-11.5,16.5,0.0,4,-0.6232706305963246,-0.5063230625734809,Retired Income Seekers
157,47,160971,51765,3,35,1,0,0.24,91.2,-2.8,11.6,0.0,1,0.6132571390748983,1.0116194976074655,Mid-Career Balanced Families
158,63,153152,338797,2,23,0,0,0.24,69.6,20.0,4.2,6.2,2,-1.2082471691440118,1.32808798688276,Pre-Retiree Conservatives
159,34,11714,195696,4,5,1,0,0.22,95.0,-13.3,18.3,0.0,1,0.7567624380040032,-1.627412712860308,Mid-Career Balanced Families
160,72,128046,84624,3,35,0,0,0.12,74.3,16.1,7.7,1.9,2,-0.4726475361238567,2.203903376373544,Pre-Retiree Conservatives
161,53,125323,211956,3,29,0,0,0.37,79.1,8.4,8.3,4.2,2,-0.49194842274232903,0.36468983318435966,Pre-Retiree Conservatives
162,60,59892,525998,3,5,1,0,0.22,60.9,20.5,18.6,0.0,1,0.4831047831699209,-0.5786816891306076,Mid-Career Balanced Families
163,70,24148,144639,3,3,1,0,0.32,63.6,27.2,9.2,0.0,1,1.0350887537654485,-0.9943307140637087,Mid-Career Balanced Families
164,73,121863,130195,4,6,1,1,0.37,41.4,38.6,20.0,0.0,3,2.219602561463756,0.9886812250127822,High-Net-Worth Diversifiers
165,53,50571,329993,4,23,1,0,0.32,80.1,6.7,13.2,0.0,1,1.3561944592080457,-0.7961880424274442,Mid-Career Balanced Families
166,25,87922,117639,1,2,1,0,0.32,75.5,14.5,10.0,0.0,1,-0.7685794666290264,-1.3454649139244648,Mid-Career Balanced Families
167,51,283067,641156,5,18,1,0,0.37,91.8,-6.8,15.0,0.0,1,0.8357671202663624,0.7791039389642874,Mid-Career Balanced Families
168,58,71416,1852575,3,30,1,0,0.32,80.3,4.1,15.6,0.0,0,0.5488573363488309,-0.8923576779357913,Young Aggressive Accumulators
169,44,31513,55740,4,38,1,0,0.24,93.3,-2.4,9.1,0.0,1,1.4811748772572337,-0.3094964355271254,Mid-Career Balanced Families
170,60,47334,36314,4,5,0,0,0.37,77.1,2.9,20.0,0.0,4,-0.02718766048287198,-0.8710582715000492,Retired Income Seekers
171,66,34454,254247,3,11,1,1,0.22,47.8,40.2,7.8,4.3,3,1.7744548828176767,0.8182072536159182,High-Net-Worth Diversifiers
172,36,81100,34800,4,1,0,0,0.24,95.0,-8.0,13.0,0.0,4,-0.8226163831910279,-0.6784628941664668,Retired Income Seekers
173,64,34055,34095,2,10,1,0,0.22,60.6,27.6,11.8,0.0,1,0.46650191862909784,-0.27082327402614353,Mid-Career Balanced Families
174,50,43002,13918,2,26,1,0,0.12,70.7,16.6,12.7,0.0,1,0.3099575370922142,0.3573974104774378,Mid-Career Balanced Families
175,57,24364,102877,4,33,0,0,0.22,86.8,-6.8,20.0,0.0,2,0.19181620079925876,0.2391765305789568,Pre-Retiree Conservatives
176,34,54586,156437,4,27,0,0,0.37,95.0,-12.9,17.9,0.0,2,-0.15169413697028888,-0.9057202071148431,Pre-Retiree Conservatives
177,53,67760,87479,4,12,0,1,0.22,70.5,12.6,16.9,0.0,3,0.546373735052064,1.1855483059194296,High-Net-Worth Diversifiers
178,28,9142,863198,3,2,0,1,0.12,80.2,2.1,17.7,0.0,3,-0.6764689269515511,-0.09474312317751644,High-Net-Worth Diversifiers
179,72,71804,789428,3,1,0,0,0.32,66.0,21.2,12.8,0.0,4,-0.7411997762615955,-0.4805897053990242,Retired Income Seekers
180,43,57989,1647241,3,1,1,0,0.37,75.6,5.6,18.8,0.0,1,0.022328803283070894,-2.3179179174907967,Mid-Career Balanced Families
181,49,35049,172100,5,33,1,1,0.24,87.6,-1.4,13.8,0.0,3,2.7624964533410075,0.7682059919968186,High-Net-Worth Diversifiers
182,23,247716,673728,3,22,1,0,0.24,95.0,-12.1,17.1,0.0,1,-0.5046485529968002,0.5962528853314901,Mid-Career Balanced Families
183,63,117117,235772,4,12,0,0,0.22,81.4,1.9,16.7,0.0,4,-0.42514183615434614,0.6385736485957111,Retired Income Seekers
184,66,27792,208993,3,39,1,0,0.24,78.2,14.8,7.0,0.0,1,1.3981307941277579,0.25278655184777066,Mid-Career Balanced Families
185,74,107663,92886,3,36,1,0,0.12,70.9,20.0,9.1,0.0,1,1.0379091653975294,1.7219345987903665,Mid-Career Balanced Families
186,27,143078,10766,3,21,0,0,0.24,95.0,-5.3,10.3,0.0,2,-1.2638298232460694,0.3370350271280533,Pre-Retiree Conservatives
187,49,65671,349671,5,20,1,0,0.22,95.0,-11.7,16.7,0.0,1,1.432625965717675,-0.488021548655169,Mid-Career Balanced Families
188,49,77111,650153,3,36,1,0,0.24,88.4,1.1,10.5,0.0,1,0.7512531924550385,0.0124833875133608,Mid-Career Balanced Families
189,65,75875,26088,5,26,0,0,0.32,91.8,-8.6,16.8,0.0,2,0.6435592961195051,0.23841374237186477,Pre-Retiree Conservatives
190,65,13903,160871,1,31,1,0,0.32,58.1,29.3,8.5,4.1,1,0.6084293365321968,-0.27715705616645064,Mid-Career Balanced Families
